mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Grasseed Volcanics (Muzzle Group),Intrusive and extrusive igneous rocks  including dikes  flows  sills  pillow lavas and agglomerate of peridotite  gabbro  dolerite and basalt.,basalt,Paleogene igneous rocks,Muzzle Group,Ezg,17_igneous
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Waima Formation (Motunau Group),Massive to poorly bedded  bluish grey calcareous silty mudstone  in the north includes lenses of poorly sorted pebble to boulder conglomerate.,siltstone,Neogene sedimentary rocks,Motunau Group,Mnw,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS3 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
Undifferentiated Muzzle Group limestone,Undifferentiated indurated micritic limestone  calcareous mudstone and chert.,limestone,Late Cretaceous sedimentary rocks,Muzzle Group,KPz,19_undifSed
Undifferentiated Coverham Group sandstone,Moderately indurated conglomerate  sandstone  siltstone and mudstone.,sandstone,Late Cretaceous sedimentary rocks,Coverham Group,Kc,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Mead Hill Formation (Muzzle Group),Strongly indurated  greenish grey  micritic limestone  calcareous mudstone and black siliceous chert.,chert,Late Cretaceous sedimentary rocks,Muzzle Group,Kzm,19_undifSed
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Undifferentiated Coverham Group sandstone,Moderately indurated conglomerate  sandstone  siltstone and mudstone.,sandstone,Late Cretaceous sedimentary rocks,Coverham Group,Kc,19_undifSed
OIS1 (Holocene) dune deposits,Sand dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,09_dune
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS2 OIS1 (Late Pleistocene to Holocene) fan and river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q2a,05_alluvial
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Mead Hill Formation (Muzzle Group),Strongly indurated  greenish grey  micritic limestone  calcareous mudstone and black siliceous chert.,chert,Late Cretaceous sedimentary rocks,Muzzle Group,Kzm,19_undifSed
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Waima Formation (Motunau Group),Massive to poorly bedded  bluish grey calcareous silty mudstone  in the north includes lenses of poorly sorted pebble to boulder conglomerate.,siltstone,Neogene sedimentary rocks,Motunau Group,Mnw,19_undifSed
Waima Formation (Motunau Group),Massive to poorly bedded  bluish grey calcareous silty mudstone  in the north includes lenses of poorly sorted pebble to boulder conglomerate.,siltstone,Neogene sedimentary rocks,Motunau Group,Mnw,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Pahau sandstone and mudstone,Thick  poorly bedded sandstone  well bedded  commonly graded sandstone and mudstone with minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Pahau sandstone and mudstone,Thick  poorly bedded sandstone  well bedded  commonly graded sandstone and mudstone with minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Coverham Group sandstone,Moderately indurated conglomerate  sandstone  siltstone and mudstone.,sandstone,Late Cretaceous sedimentary rocks,Coverham Group,Kc,19_undifSed
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
Mead Hill Formation (Muzzle Group),Strongly indurated  greenish grey  micritic limestone  calcareous mudstone and black siliceous chert.,chert,Late Cretaceous sedimentary rocks,Muzzle Group,Kzm,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Esk Head melange (Kaweka Terrane),Deformed sandstone  minor mudstone  coloured mudstone  limestone  and basalt commonly as broken formation or melange.,sandstone,Basement (Eastern Province) melange,Kaweka Terrane,Tem,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
Lookout Formation (Wallow Group),Pebble conglomerate and coal measures overlain by trachybasalt and trachyandesite flows  volcanic conglomerates  sandstone and limestone.,basalt,Late Cretaceous igneous rocks,Wallow Group,Kwl,17_igneous
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
